id;code;name;description
1;Idaho Table open-source;tan online;Rustic New Israeli Sheqel
2;leading-edge;ivory Handcrafted Granite Chair Licensed Soft Towels;online Missouri Junctions
3;Auto Loan Account Checking Account;Fresh yellow;Zambia
4;Refined expedite;Road green;Palestinian Territory
5;Money Market Account;benchmark Australian Dollar;Ohio Towels
6;navigate transmitter Germany;Total Avon benchmark;invoice Tactics extend
7;Hat;redefine Incredible Cotton Hat;coherent Ukraine
8;Avon;Networked;Quality networks Functionality
9;connecting transmit;FTP solution-oriented;support Refined Future
10;emulation Games;Object-based;solutions
