id;name;description;url;duration;creation_date;user_creation;download_date;user_download;document_category_id;document_type_id
1;invoice infomediaries;target Fantastic Universal;http://jaden.name;67859;2020-08-31T21:54:49;hacking parse;2020-08-31T17:19:46;wireless navigate Maine;1;1
2;Chicken Automotive azure;transmit hacking;https://america.biz;38296;2020-09-01T04:20:37;hack;2020-08-31T12:57:12;program black;2;2
3;Rustic Surinam Dollar;teal Distributed invoice;https://delmer.info;96516;2020-08-31T14:24:39;sensor maximize;2020-08-31T14:02:26;Borders clear-thinking copy;3;3
4;Steel back up envisioneer;bi-directional;https://torrey.biz;1601;2020-09-01T02:36:43;Personal Loan Account;2020-08-31T11:11:40;Borders Tactics payment;4;4
5;orchid Savings Account Pataca;array microchip;http://antonina.biz;80657;2020-08-31T14:54:54;Buckinghamshire;2020-09-01T06:00:58;Health COM indigo;5;5
6;Customer;Checking Account Chief;http://makenzie.name;61202;2020-09-01T04:32:02;dynamic;2020-09-01T02:51:30;Savings Account mesh;6;6
7;initiative;Engineer Product hacking;https://clovis.com;21417;2020-08-31T16:52:59;supply-chains visualize;2020-08-31T17:17:01;Awesome Concrete Bike;7;7
8;Fantastic calculate Persevering;withdrawal;https://sonia.com;14089;2020-09-01T00:49:59;Cocos (Keeling) Islands;2020-08-31T20:36:43;Sleek Diverse;8;8
9;back up JSON;green Accounts;http://shyann.org;2686;2020-09-01T01:59:32;Practical Plastic Gloves Port;2020-09-01T00:33:51;Human;9;9
10;enhance experiences;Supervisor transform;https://domingo.info;63359;2020-08-31T08:35:11;Function-based Architect Assimilated;2020-09-01T03:22:09;Advanced;10;10
