id;name;description
1;XML Integration Glen;Georgia seize Keyboard
2;partnerships Buckinghamshire;deposit Handcrafted Steel Ball Awesome Wooden Sausages
3;driver Serbian Dinar lime;Costa Rica bypass Awesome Soft Soap
4;RAM disintermediate;azure Sleek Soft Chicken
5;Lari transmit;black Hat Supervisor
6;intuitive;turquoise Health generate
7;hardware;Avon Movies
8;Chips SAS New Hampshire;Fantastic Won
9;mobile ROI analyzing;deposit
10;monetize Licensed Fresh Ball;Barbados Dollar Credit Card Account Frozen
